Title,Oscar Status,Globes Status,Decade Released,Runtime (minutes),Box Office,Genre,Sub-Genre,Studio,Rotten Tomatoes (out of 100),IMDb (out of 100),Metacritic (out of 100),Director,Starring,Release Date,Budget,Domestic Gross,Worldwide Gross,Total Gross,Net Gross,remake,Cast Strength,Director Strength,Total Status,total score
Kubo and the Two Strings,1,0,2010-2019,102,69929545,Animation,Kids & Family,Laika Animation,97,780,84,Travis Knight,"Art Parkinson, Charlize Theron, Rooney Mara, Matthew McConaughey, Ralph Fiennes, Brenda Vaccaro, Cary-Hiroyuki Tagawa, George Takei",8/18/2016,550000000,480230880,775481220,1255712100,705712100,0,4,0,1,259
The Best of Enemies,0,0,2010-2019,133,,Drama,BioPic & True Story,STX Films,53,710,49,Robin Bissell,"Taraji P. Henson, Sam Rockwell, Anne Heche, Wes Bentley, Bruce McGill, Nick Searcy, John Gallagher Jr., Babou Ceesay",4/5/2019,100000000,102056160,102687490,204743650,104743650,0,4,0,0,173
Dreamgirls,0,2,2000-2009,134,154937680,Musical,Dance & Music,DreamWorks Pictures,78,650,76,Bill Condon,"Eddie Murphy, Jennifer Hudson, Beyoncé Knowles, Jamie Foxx, Danny Glover, Anika Noni Rose, Keith Robinson, Sharon Leal",12/15/2006,750000000,1033659560,1556203500,2589863060,1839863060,0,3,0,2,219
Dawn of the Planet of the Apes,0,0,2010-2019,130,710644566,Sci-Fi,"Dystopian, Sequel","20th Century Studios, Chernin",90,760,79,Matt Reeves,"Andy Serkis, Jason Clarke, Kodi Smit-McPhee, Gary Oldman, Keri Russell, Toby Kebbell, Kirk Acevedo, Judy Greer",7/9/2014,1700000000,2085455890,7106445660,9191901550,7491901550,0,3,0,0,245
Tomorrowland,0,0,2010-2019,130,209154322,Adventure,Kids & Family,Disney,50,640,60,Brad Bird,"George Clooney, Hugh Laurie, Britt Robertson, Raffey Cassidy, Tim McGraw, Chris Bauer, Shiloh Nelson, Kathryn Hahn",5/20/2015,1700000000,934363220,2066275180,3000638400,1300638400,0,3,0,0,174
The Heat,0,0,2010-2019,117,158674180,Comedy,Police & Detectives,"20th Century Studios, Chernin",65,660,60,Paul Feig,"Sandra Bullock, Melissa McCarthy, Demián Bichir, Marlon Wayans, Michael Rapaport, Jane Curtin, Taran Killam, Dan Bakkedahl",6/28/2013,430000000,1595815870,2297277740,3893093610,3463093610,0,3,0,0,191
Father Stu,0,0,2020-2029,124,21591034,Drama,BioPic & True Story,"Sony Pictures, Columbia Pictures, CJ Entertainment",,,,Rosalind Ross,"Mark Wahlberg, Mel Gibson, Jacki Weaver, Teresa Ruiz, Malcolm McDowell, Annet Mahendru, Cody Fern, Winter Ave Zoli",4/13/2022,40000000,210966780,217990530,428957310,388957310,0,3,0,0,
Panic Room,0,0,2000-2009,111,197079546,"Crime, Thriller",Crime Thriller,Sony Pictures,75,680,65,David Fincher,"Jodie Foster, Kristen Stewart, Forest Whitaker, Dwight Yoakam, Jared Leto, Ann Magnuson, Ian Buchanan, Patrick Bauchau",3/29/2002,480000000,953083670,1963083670,2916167340,2436167340,0,3,0,0,208
The Sorcerer's Apprentice,0,0,2010-2019,109,215283742,Fantasy,Witches & Wizards,"Disney, Saturn Films",40,610,46,Jon Turteltaub,"Nicolas Cage, Jay Baruchel, Monica Bellucci, Alfred Molina, Teresa Palmer, Ethan Peck, Alice Krige, Toby Kebbell",7/14/2010,1600000000,631509910,2179863200,2811373110,1211373110,0,3,0,0,147
Jojo Rabbit,1,1,2010-2019,108,82468705,Dramedy,"Coming-of-Age, War",Searchlight Pictures,79,790,58,Taika Waititi,"Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi, Sam Rockwell, Rebel Wilson, Alfie Allen, Stephen Merchant",10/18/2019,140000000,333709060,868780730,1202489790,1062489790,0,3,0,2,216
Aquaman,0,0,2010-2019,144,1148461807,Comic Book,,"DC, Warner Bros",65,700,55,James Wan,"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson, Nicole Kidman, Dolph Lundgren, Yahya Abdul-Mateen II, Temuera Morrison",12/6/2018,1600000000,3350618070,11318497020,14669115090,13069115090,0,3,0,0,190
